Sample	Season	Year	Type	Horizon	Needle	TreeSpecies	Snowmelt	Location	Date	Elevation
LS.R2.SM.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.R3.SM.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.L2.SM.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	d_Four	LS_SM
LS.L3.SM.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	d_Four	LS_SM
LS.L4.SM.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	d_Four	LS_SM
LS.2XR2.SM.7.19.2018	Middle	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.2XR3.SM.7.19.2018	Middle	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.2XR4.SM.7.19.2018	Middle	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.SH1.SM.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Induced	Lower Subalpine	d_Four	LS_SM
LS.SH2.SM.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Induced	Lower Subalpine	d_Four	LS_SM
LS.SH3.SM.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Induced	Lower Subalpine	d_Four	LS_SM
US.C2.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Upper Subalpine	d_Four	US
US.C3.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Upper Subalpine	d_Four	US
US.C4.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Upper Subalpine	d_Four	US
US.G2.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Upper Subalpine	d_Four	US
US.G3.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Upper Subalpine	d_Four	US
US.G4.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Upper Subalpine	d_Four	US
US.R1.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Upper Subalpine	d_Four	US
US.R2.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Upper Subalpine	d_Four	US
US.R4.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Upper Subalpine	d_Four	US
US.L1.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	d_Four	US
US.L2.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	d_Four	US
US.L4.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	d_Four	US
US.SH1.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Upper Subalpine	d_Four	US
US.SH2.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Upper Subalpine	d_Four	US
US.SH3.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Upper Subalpine	d_Four	US
LM.C1.10.25.2018	Late	b_2018	Control	Top	Control	Control	Regular	Lower Montane	e_Five	LM
LM.C2.10.25.2018	Late	b_2018	Control	Top	Control	Control	Regular	Lower Montane	e_Five	LM
LM.C3.10.25.2018	Late	b_2018	Control	Top	Control	Control	Regular	Lower Montane	e_Five	LM
LM.G2.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	e_Five	LM
LM.G3.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	e_Five	LM
LM.G4.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	e_Five	LM
LM.R1.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	e_Five	LM
LM.R3.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	e_Five	LM
LM.R4.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	e_Five	LM
LM.L1.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	e_Five	LM
LM.L3.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	e_Five	LM
LM.L4.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	e_Five	LM
LM.SH1.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Regular	Lower Montane	e_Five	LM
LM.SH2.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Regular	Lower Montane	e_Five	LM
LM.SH3.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Regular	Lower Montane	e_Five	LM
LS.C1.10.25.2018	Late	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	e_Five	LS
LS.C3.10.25.2018	Late	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	e_Five	LS
LS.C4.10.25.2018	Late	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	e_Five	LS
LS.G1.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	e_Five	LS
POS1.2		Positive	Positive	Positive	Positive	Positive	Positive	Positive	Positive	LS
POS2.2		Positive	Positive	Positive	Positive	Positive	Positive	Positive	Positive	LS
POS3.2		Positive	Positive	Positive	Positive	Positive	Positive	Positive	Positive	LS
NEG1.2		Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	LS
NEG2.2		Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	LS
NEG3.2		Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	LS
LS.G3.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.G4.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.R1.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.R2.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.R3.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.L2.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	e_Five	LS
LS.L3.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	e_Five	LS
LS.L4.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	e_Five	LS
LS.2XR1.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.2XR2.1.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.2XR2.2.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.2XR3.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	e_Five	LS
LS.SH1.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Regular	Lower Subalpine	e_Five	LS
LS.SH2.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Regular	Lower Subalpine	e_Five	LS
LS.SH3.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Regular	Lower Subalpine	e_Five	LS
LS.C1.SM.10.25.2018	Late	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	e_Five	LS_SM
LS.C2.SM.10.25.2018	Late	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	e_Five	LS_SM
LS.C4.SM.10.25.2018	Late	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	e_Five	LS_SM
LS.G1.SM.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.G3.SM.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.G4.SM.10.25.2018	Late	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.R1.SM.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.R2.SM.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.R3.SM.10.25.2018	Late	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.L2.SM.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	e_Five	LS_SM
LS.L3.SM.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	e_Five	LS_SM
LS.L4.SM.10.25.2018	Late	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	e_Five	LS_SM
LS.2XR2.SM.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.2XR3.SM.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.2XR4.SM.10.25.2018	Late	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
LS.SH1.SM.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Induced	Lower Subalpine	e_Five	LS_SM
LS.SH2.SM.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Induced	Lower Subalpine	e_Five	LS_SM
LS.SH3.SM.10.25.2018	Late	b_2018	Control	Top	Shade	Control	Induced	Lower Subalpine	e_Five	LS_SM
LS.R1.SM.05.26.2018	Early	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	e_Five	LS_SM
Blank		Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	
